PlayerName,Position,Age,Season,LeftClub,JoinedClub,MarketValue,Fee,Injury_Index,Loan_Index,Matches_Played,Mins_played,90s_Played,Role_In_Prev_Club_Index,Starts,Goals_Against,Shots_on_Target_Against,Saves,Saves_Pct,Clean_Sheets,Clean_Sheets_Pct,Performance_Index,Missing_Stats?,club_left_rank,club_joined_rank,Delta_Club_Rank,Transfer_Success
rui silva,Goalkeeper,27.0,21/22,granada,real betis,12000000.0,0.0,0.0,0.0,32,2880.0,32,84.21052631578947,32,55,137,79,63.5,8,25.0,74.92675834490336,0,4,3,-2,1
rui patricio,Goalkeeper,33.0,21/22,wolves,roma,10000000.0,11800000.0,0.0,0.0,37,3329.0,37,97.36842105263158,37,51,148,99,70.3,10,27.0,83.38975142579137,0,4,1,-1,1
jens grahl,Goalkeeper,32.0,21/22,stuttgart,frankfurt,200000.0,250000.0,0.0,0.0,19,1742.8,19,50.0,19,30,91,61,66.4,4,15.6,53.45597701210381,1,3,3,0,0
gregor kobel,Goalkeeper,23.0,21/22,stuttgart,dortmund,13000000.0,15000000.0,0.0,0.0,33,2970.0,33,86.84210526315789,33,54,157,102,68.8,5,15.2,75.00344630765322,0,3,1,-1,1
mike maignan,Goalkeeper,26.0,21/22,lille,ac milan,25000000.0,16399999.0,0.0,0.0,38,3420.0,38,100.0,38,23,107,85,79.4,21,55.3,100.0,0,2,1,-1,1
salvatore sirigu,Goalkeeper,34.0,21/22,torino,genoa,2500000.0,0.0,0.0,0.0,32,2880.0,32,84.21052631578947,32,62,134,72,59.7,7,21.9,69.42241431709459,0,3,4,2,1
alban lafont,Goalkeeper,22.0,21/22,fiorentina,nantes,10000000.0,7500000.0,0.0,0.1477,38,3420.0,38,100.0,38,55,168,113,73.2,5,13.2,78.76773629230645,0,3,3,0,1
yann sommer,Goalkeeper,33.0,22/23,mönchengladbach,bayern munich,5000000.0,9000000.0,0.0,0.0,33,2970.0,33,86.84210526315789,33,60,182,120,68.7,5,15.2,82.82232181567161,0,3,1,-2,1
ivan provedel,Goalkeeper,28.0,22/23,spezia,lazio,3500000.0,2550000.0,0.0,0.0,31,2761.0,31,81.57894736842105,31,52,165,116,73.9,7,22.6,86.52585982865669,0,5,2,-2,1
michele di gregorio,Goalkeeper,25.0,22/23,inter,monza,3800000.0,6000000.0,0.0,0.4644,24,2230.818181818182,25,65.78947368421052,25,31,102,71,71.3,7,29.5,71.61572657474522,1,1,5,4,1
salvatore sirigu,Goalkeeper,35.0,22/23,napoli,fiorentina,800000.0,0.0,0.0,0.0,37,3330.0,37,97.36842105263158,37,59,180,122,69.4,10,27.0,93.0322466560097,0,1,3,1,1
sergio asenjo,Goalkeeper,33.0,22/23,villarreal,real valladolid,4000000.0,0.0,0.0,0.0,6,540.0,6,15.789473684210526,6,9,28,19,71.4,0,0.0,22.109862109947045,0,2,5,2,1
brice samba,Goalkeeper,28.0,22/23,nott'm forest,lens,2500000.0,5000000.0,0.0,0.0,24,2144.214285714286,24,63.1578947368421,24,30,97,68,72.5,7,30.5,71.50134997210468,1,5,5,0,1
neto,Goalkeeper,33.0,22/23,barcelona,bournemouth,3000000.0,0.0,0.0,0.0,3,270.0,3,7.894736842105263,3,4,14,10,71.4,0,0.0,17.70476687270734,0,1,4,3,1
joel robles,Goalkeeper,32.0,22/23,real betis,leeds united,1500000.0,0.0,0.0,0.0,18,1673.5,19,50.0,19,29,86,57,66.2,4,19.3,55.08277219043655,1,3,5,1,1
benoit costil,Goalkeeper,35.0,22/23,aj auxerre,lille,1500000.0,0.0,0.0,0.0,25,2250.0,25,65.78947368421052,25,62,133,72,57.1,0,0.0,48.374740240738745,0,5,2,-2,1
bernd leno,Goalkeeper,30.0,22/23,arsenal,fulham,9000000.0,3600000.0,0.0,0.0,4,360.0,4,10.526315789473683,4,9,19,10,52.6,1,25.0,32.63520589944734,0,1,4,2,1
jonas omlin,Goalkeeper,28.0,22/23,montpellier,mönchengladbach,7000000.0,9000000.0,0.0,0.0,29,2587.0,29,76.3157894736842,29,41,158,117,75.9,8,27.6,89.72303120980543,0,3,3,-2,1
benjamin lecomte,Goalkeeper,31.0,22/23,monaco,montpellier,4000000.0,2000000.0,0.0,0.0,25,2230.6,25,65.78947368421052,25,37,110,73,73.1,5,20.4,66.88214496924454,1,2,3,3,1
robin olsen,Goalkeeper,32.0,22/23,roma,aston villa,2000000.0,3500000.0,0.0,0.5324,1,90.0,1,2.631578947368421,1,3,5,2,40.0,0,0.0,0.0,0,1,3,0,1
bartlomiej dragowski,Goalkeeper,25.0,22/23,fiorentina,spezia,6000000.0,2450000.0,0.4360449122807017,0.3283,24,2230.818181818182,25,65.78947368421052,25,31,102,71,71.3,7,29.5,71.61572657474522,1,3,5,2,0
darren randolph,Goalkeeper,35.0,22/23,west ham,bournemouth,500000.0,0.0,0.0,0.0,18,1621.4,18,47.368421052631575,18,25,81,56,74.9,5,41.1,77.04282553300288,1,3,4,0,0
thomas strakosha,Goalkeeper,27.0,22/23,lazio,brentford,7000000.0,0.0,0.0,0.0,23,2070.0,23,60.526315789473685,23,29,86,58,67.4,7,30.4,65.53549038942214,0,2,5,1,0
fraser forster,Goalkeeper,34.0,22/23,southampton,tottenham,2000000.0,0.0,0.1132421052631578,0.4988,19,1710.0,19,50.0,19,35,101,68,67.3,3,15.8,57.206863463953326,0,4,2,-3,0
diego lopez,Goalkeeper,40.0,22/23,espanyol,rayo vallecano,500000.0,0.0,0.0,0.0,36,3177.0,35,93.42105263157892,36,49,157,110,70.7,9,25.0,84.63010260873935,0,3,4,0,0
kasper schmeichel,Goalkeeper,35.0,22/23,leicester,nice,4000000.0,1000000.0,0.0,0.0,37,3330.0,37,97.36842105263158,37,58,187,128,72.7,7,18.9,89.5849850482373,0,3,3,-1,1
marcel lotka,Goalkeeper,21.0,22/23,hertha bsc,dortmund,1300000.0,0.0,0.0,0.0,10,885.0,10,25.0,9,20,49,29,65.3,2,22.2,45.59683246431611,0,3,1,-3,0
marcin bulka,Goalkeeper,23.0,22/23,paris sg,nice,2000000.0,2000000.0,0.0,0.0,17,1562.5555555555557,17,44.73684210526315,17,27,86,59,66.4,4,23.5,58.91751954186531,1,1,3,2,1
kiko casilla,Goalkeeper,35.0,22/23,leeds united,getafe,700000.0,0.0,0.0674035087719298,0.5556,14,1260.0,14,36.84210526315789,14,17,60,43,71.7,3,21.4,51.377018012111655,0,5,3,0,0
pau lopez,Goalkeeper,27.0,22/23,roma,marseille,12000000.0,12000000.0,0.1050719298245614,0.3135,29,2610.0,29,76.3157894736842,29,31,86,55,68.6,10,34.5,69.7548496262014,0,1,1,-1,0
federico brancolini,Goalkeeper,21.0,22/23,fiorentina,lecce,200000.0,0.0,0.0,0.0,7,644.8,7,18.421052631578945,7,13,41,28,60.9,1,12.0,31.91263726779756,1,3,5,2,0
alphonse areola,Goalkeeper,29.0,22/23,paris sg,west ham,8000000.0,9300000.0,0.0,0.0,1,90.0,1,2.631578947368421,1,1,3,2,66.7,0,0.0,12.017419223409128,0,1,3,3,1
