PlayerName,Position,Age,Season_x,LeftClub,JoinedClub,MarketValue,Fee,Injury_Index,Loan_Index,Matches_Played,Mins_played,90s_Played,Role_In_Prev_Club_Index,Chance_Creation_Index,Attacking_Contributions,Ball_Progression,Mistake_Rate,Midfield_Control,Defensive_Actions,Possession_Control,Performance_Index,Missing_Stats?,club_left_rank,club_joined_rank,Delta_Club_Rank,Transfer_Success,Role_Cohort
philippe coutinho,Attacking Midfield,29.0,22/23,barcelona,aston villa,20000000,20000000.0,0.4824949066213921,0.2891,31,1832.0,20.4,59.64818763326227,65.0,10.0,199.0,0.0738916256157635,84.41340782122906,48.0,1400.0,47.24876517411912,0,1,3,-2,0,Attacking Midfield
yves bissouma,Defensive Midfield,24.0,22/23,brighton,tottenham,35000000,29200000.0,0.0,0.0,26,2111.0,23.5,57.55152807391615,23.5,3.0,132.0,0.0378737541528239,111.80790960451978,159.0,1963.0,55.709046979726594,0,3,2,1,1,Defensive Midfield
abdelhamid sabiri,Attacking Midfield,24.0,22/23,sampdoria,fiorentina,4000000,2500000.0,0.0,0.0,14,893.0,9.9,26.35039090262971,27.0,5.0,48.0,0.1039501039501039,38.802816901408455,51.0,515.0,25.58014841999481,0,3,3,0,0,Attacking Midfield
ederson,Central Midfield,22.0,22/23,salernitana,atalanta,13000000,22900000.0,0.0,0.0,15,1147.0,12.7,31.02345415778252,24.5,3.0,59.0,0.0749542961608775,41.93333333333334,59.0,590.0,29.943123609395077,0,5,2,3,1,Central Midfield
aaron ramsey,Central Midfield,31.0,22/23,juventus,nice,3000000,0.0,0.5610498245614035,0.513,26,1459.95,16.22,48.49680170575694,41.325,3.6,104.7,0.0548406162640596,1076.7812627954586,56.4,1046.0,44.19192325292577,1,1,3,-2,0,Central Midfield
adrien tameze,Defensive Midfield,29.0,23/24,hellas verona,torino,6000000,2800000.0,0.0,0.0,37,3031.0,33.7,83.33333333333334,48.5,0.0,135.0,0.0511204481792717,3094.811245687676,139.0,1664.0,66.8183291859665,0,4,3,1,1,Defensive Midfield
habib keita,Central Midfield,20.0,23/24,lyon,clermont foot,650000,1200000.0,0.0,0.0,16,850.554347826087,9.44891304347826,28.170289855072465,24.26086956521739,2.391304347826087,65.20652173913044,0.0750755487835136,467.7715458926901,37.65217391304348,591.3369565217391,30.507283076010083,1,1,5,-4,0,Central Midfield
ibrahim sulemana,Defensive Midfield,19.0,23/24,hellas verona,cagliari,1500000,4000000.0,0.0,0.0,16,651.0,7.2,25.37313432835821,11.5,0.0,22.0,0.0676156583629893,18.88888888888889,41.0,284.0,23.343869183485157,0,4,4,0,0,Defensive Midfield
houssem aouar,Attacking Midfield,24.0,23/24,lyon,roma,13000000,0.0,0.0,0.0,16,526.0,5.8,23.6318407960199,13.5,2.0,49.0,0.0455531453362256,27.53363228699552,32.0,578.0,29.4776876935531,0,1,1,0,1,Attacking Midfield
naby keita,Central Midfield,27.0,23/24,liverpool,werder bremen,12000000,0.0,0.0,0.0,8,293.0,3.3,10.99857853589197,14.0,0.0,20.0,0.0922330097087378,16.60377358490566,8.0,243.0,17.404693928623555,0,1,3,-2,0,Central Midfield
munir el haddadi,Attacking Midfield,26.0,23/24,getafe,ud las palmas,3500000,0.0,0.0,0.0,28,1150.0,12.8,46.62402274342573,38.5,4.0,50.0,0.1140065146579804,23.43629343629344,44.0,523.0,24.173461177521627,0,3,5,-2,0,Attacking Midfield
nemanja matic,Defensive Midfield,33.0,23/24,roma,rennes jugend,4000000,2500000.0,0.0,0.0,35,1852.0,20.6,64.65884861407251,50.0,4.0,184.0,0.0277966101694915,82.39043824701194,99.0,2051.0,57.134129943260405,0,1,2,-1,1,Defensive Midfield
woo-yeong jeong,Attacking Midfield,23.0,23/24,freiburg,stuttgart,3500000,3800000.0,0.1351122807017543,0.3084,22,1368.3170731707316,15.207317073170731,42.47534106471129,37.170731707317074,4.219512195121951,87.14634146341463,0.0626888903960593,88.04997732426304,59.51219512195122,885.6341463414634,36.30567453615565,1,3,3,0,0,Attacking Midfield
luca mazzitelli,Central Midfield,26.0,23/24,monza,frosinone,3000000,1780000.0,0.2818755775577558,0.375,25,1943.0,21.6,53.99786780383797,65.0,8.0,243.0,0.0267080745341614,97.3394495412844,97.0,2064.0,62.93760688018307,0,5,5,0,0,Central Midfield
luca lipani,Defensive Midfield,18.0,23/24,genoa,sassuolo,400000,3000000.0,0.0,0.0,20,1047.7777777777778,11.644444444444444,35.662955065940146,30.95238095238096,2.6666666666666665,65.06349206349206,0.0796425820097644,297.6148329702252,40.98412698412698,627.015873015873,30.04594468338152,1,4,3,1,0,Defensive Midfield
yangel herrera,Central Midfield,24.0,23/24,man city,girona,5000000,5000000.0,0.0,0.0,20,963.0,10.7,34.488272921108745,21.5,4.0,64.0,0.0845323741007194,45.629139072847686,44.0,633.0,28.305729227084804,0,1,5,-4,0,Central Midfield
abdoulaye toure,Defensive Midfield,28.0,23/24,genoa,le havre,1300000,0.0,0.5426684210526316,0.4107,25,1597.0384615384614,17.757692307692306,49.2188781367886,43.90384615384615,4.173076923076923,110.5,0.0504305186736975,3094.811245687676,62.42307692307692,1233.173076923077,57.69594890596894,1,4,5,-1,0,Defensive Midfield
abdou harroui,Central Midfield,24.0,23/24,sassuolo,frosinone,2700000,700000.0,0.0,0.0,23,647.0,7.2,33.70646766169155,13.5,2.0,57.0,0.0632911392405063,23.666666666666664,25.0,465.0,26.503956093650597,0,3,5,-2,0,Central Midfield
ilkay gundogan,Central Midfield,31.0,23/24,man city,barcelona,20000000,0.0,0.0,0.0,31,2353.0,26.1,66.73773987206825,82.0,12.0,223.0,0.030454042081949,249.7979797979798,68.0,2349.0,63.95037467545775,0,1,1,0,1,Central Midfield
