PlayerName,Position,Age,Season,LeftClub,JoinedClub,MarketValue,Fee,Loan_Index,Injury_Index,Performance_Index,Role_In_Prev_Club_Index,Delta_Club_Rank,Transfer_Success
neal maupay,Centre-Forward,25.0,22/23,brighton,everton,18000000.0,11800000.0,0.0,0.0,29.868835934983657,66.36034530771373,0,0
ignatius ganago,Centre-Forward,23.0,22/23,lens,nantes,5000000.0,4400000.0,0.0,0.0,14.304054332242044,29.5530492898914,-2,0
janis antiste,Centre-Forward,19.0,22/23,spezia,sassuolo,4000000.0,5680000.0,0.0,0.0,5.806166862174698,23.482316903369536,-2,0
breel embolo,Centre-Forward,25.0,22/23,mönchengladbach,monaco,15000000.0,12500000.0,0.0,0.0,37.09207976293497,63.457254246727935,-1,1
memphis depay,Centre-Forward,28.0,22/23,barcelona,atlético,20000000.0,3000000.0,0.0,0.0,49.65966832231693,53.56446672236146,0,0
michael gregoritsch,Centre-Forward,28.0,22/23,augsburg,freiburg,4500000.0,0.0,0.2273,0.1410666666666666,24.32176815434127,40.23948760790866,0,0
hee-chan hwang,Centre-Forward,26.0,22/23,leipzig,wolves,16000000.0,16700000.0,0.0,0.0,22.940565412012653,53.6967418546366,3,0
hugo duro,Centre-Forward,22.0,22/23,getafe,valencia,10000000.0,4000000.0,0.3021,0.0,19.58708085804521,55.93149540517961,0,1
jens petter hauge,Left Winger,22.0,22/23,ac milan,frankfurt,8000000.0,8200000.0,0.0,0.0,12.529570048434843,27.18602060707324,2,1
joaquin correa,Centre-Forward,27.0,22/23,lazio,inter,23000000.0,27300000.0,0.1364,0.5343402400498152,22.209345629457747,30.868838763575607,-1,0
borja mayoral,Centre-Forward,25.0,22/23,real madrid,getafe,9000000.0,10000000.0,0.2402,0.0731210526315789,19.397965948739618,32.588415483152325,2,1
nuno da costa,Centre-Forward,28.0,22/23,nott'm forest,aj auxerre,1200000.0,0.0,0.0,0.0,25.57250908387381,52.88669775353725,0,0
goncalo guedes,Left Winger,25.0,22/23,valencia,wolves,40000000.0,32600000.0,0.0,0.0,49.12020309301579,77.83347257031468,1,0
goncalo paciencia,Centre-Forward,27.0,22/23,frankfurt,celta vigo,3000000.0,790000.0,0.0,0.0,9.605778242729336,12.802840434419382,0,0
mattia zaccagni,Left Winger,27.0,22/23,hellas verona,lazio,18000000.0,7100000.0,0.1875,0.3133011441647597,23.88998532938191,55.14480646059594,-2,1
sofiane diop,Left Winger,22.0,22/23,monaco,nice,20000000.0,22000000.0,0.0,0.0,37.77774193365959,60.15037593984962,1,0
gianluca caprari,Centre-Forward,29.0,22/23,sampdoria,hellas verona,10000000.0,5000000.0,0.4742,0.1951859649122806,71.96597043909516,83.63269284321916,1,0
gianluca scamacca,Centre-Forward,23.0,22/23,sassuolo,west ham,30000000.0,38600000.0,0.4318,0.1248491228070175,39.17339492620748,64.37621832358674,0,0
danny ings,Centre-Forward,30.0,22/23,aston villa,west ham,16000000.0,12000000.0,0.0,0.0,26.45485251707097,56.85742133110554,0,0
taiwo awoniyi,Centre-Forward,24.0,22/23,union berlin,nott'm forest,20000000.0,20500000.0,0.0,0.0,42.65640230086352,70.16847674742411,0,1
takefusa kubo,Right Winger,21.0,22/23,real madrid,real sociedad,7500000.0,6500000.0,0.3693,0.2693842105263158,19.814683737867565,45.91339459760512,2,1
