Rk,Player,Save%,Season,Age,Nation,Team,Comp,Playing Time MP,Playing Time Min,Playing Time 90s,Playing Time Starts,Playing Time Subs,Playing Time unSub,Performance GA,Performance SoTA,Performance Saves,Performance Save%,Performance W,Performance D,Performance L,Performance CS,Performance CS%,Pos
85,Frederik Rønnow,73.2,25-26,32,dk DEN,Union Berlin,de Bundesliga,7,630,7.0,7,0,0,14,41,27,73.2,3.0,1.0,3,1.0,14.3,GK
86,Mark Flekken,71.0,25-26,32,nl NED,Leverkusen,de Bundesliga,7,630,7.0,7,0,0,11,31,20,71.0,4.0,2.0,1,1.0,14.3,GK
87,Pablo Cuñat,64.3,25-26,23,es ESP,Levante,es La Liga,2,180,2.0,2,0,7,5,14,10,64.3,0.0,0.0,2,0.0,0.0,GK
88,Karl Jakob Hein,80.0,25-26,23,ee EST,Werder Bremen,de Bundesliga,2,180,2.0,2,0,4,4,15,11,80.0,1.0,0.0,1,1.0,50.0,GK
89,Łukasz Skorupski,70.6,25-26,34,pl POL,Bologna,it Serie A,6,540,6.0,6,0,1,5,17,12,70.6,3.0,1.0,2,2.0,33.3,GK
90,Maduka Okoye,66.7,25-26,25,ng NGA,Udinese,it Serie A,1,90,1.0,1,0,0,1,3,2,66.7,0.0,1.0,0,0.0,0.0,GK
91,Marko Dmitrović,75.6,25-26,33,rs SRB,Espanyol,es La Liga,9,810,9.0,9,0,0,11,41,30,75.6,4.0,3.0,2,3.0,33.3,GK
92,Lukáš Hrádecký,62.5,25-26,35,fi FIN,Monaco,fr Ligue 1,3,258,2.9,3,0,0,4,8,4,62.5,2.0,0.0,1,0.0,0.0,GK
93,Alexander Nübel,80.0,25-26,28,de GER,Stuttgart,de Bundesliga,7,630,7.0,7,0,0,6,25,19,80.0,5.0,0.0,2,4.0,57.1,GK
94,Théo De Percin,63.6,25-26,24,mq MTQ,Auxerre,fr Ligue 1,3,226,2.5,2,1,5,4,11,7,63.6,0.0,0.0,2,0.0,0.0,GK
95,Lucas Chevalier,63.6,25-26,23,fr FRA,Paris S-G,fr Ligue 1,8,720,8.0,8,0,0,8,22,14,63.6,5.0,2.0,1,4.0,50.0,GK
96,Matías Dituro,68.8,25-26,38,ar ARG,Elche,es La Liga,5,450,5.0,5,0,4,5,16,11,68.8,2.0,3.0,0,1.0,20.0,GK
97,Diant Ramaj,69.2,25-26,23,de GER,Heidenheim,de Bundesliga,7,630,7.0,7,0,0,13,39,26,69.2,1.0,1.0,5,0.0,0.0,GK
98,Péter Gulácsi,64.0,25-26,35,hu HUN,RB Leipzig,de Bundesliga,7,630,7.0,7,0,0,9,25,16,64.0,5.0,1.0,1,3.0,42.9,GK
99,Mile Svilar,85.0,25-26,25,rs SRB,Roma,it Serie A,7,630,7.0,7,0,0,3,20,17,85.0,5.0,0.0,2,4.0,57.1,GK
100,Ørjan Nyland,62.5,25-26,34,no NOR,Sevilla,es La Liga,4,360,4.0,4,0,5,7,16,9,62.5,1.0,1.0,2,1.0,25.0,GK
101,Stefano Turati,50.0,25-26,23,it ITA,Sassuolo,it Serie A,1,90,1.0,1,0,6,2,4,2,50.0,0.0,0.0,1,0.0,0.0,GK
102,Obed Nkambadio,63.3,25-26,22,fr FRA,Paris FC,fr Ligue 1,7,630,7.0,7,0,0,13,30,16,63.3,2.0,1.0,4,1.0,14.3,GK
103,Lorenzo Montipò,62.5,25-26,29,it ITA,Hellas Verona,it Serie A,7,630,7.0,7,0,0,9,24,14,62.5,0.0,4.0,3,2.0,28.6,GK
104,Jeffrey De Lange,50.0,25-26,27,nl NED,Marseille,fr Ligue 1,2,180,2.0,2,0,6,2,4,2,50.0,2.0,0.0,0,1.0,50.0,GK
105,Kauã Santos,38.1,25-26,22,br BRA,Eint Frankfurt,de Bundesliga,4,360,4.0,4,0,1,13,21,8,38.1,1.0,1.0,2,0.0,0.0,GK
106,Mads Hermansen,45.0,25-26,25,dk DEN,West Ham,eng Premier League,4,360,4.0,4,0,4,11,20,9,45.0,1.0,0.0,3,1.0,25.0,GK
107,Grégoire Coudert,66.7,25-26,26,fr FRA,Brest,fr Ligue 1,3,212,2.4,2,1,5,6,15,9,66.7,1.0,0.0,1,0.0,0.0,GK
108,Iñaki Peña,75.0,25-26,26,es ESP,2 Teams,es La Liga,4,360,4.0,4,0,5,4,12,8,75.0,1.0,2.0,1,2.0,50.0,GK
109,Gregor Kobel,78.3,25-26,27,ch SUI,Dortmund,de Bundesliga,7,630,7.0,7,0,0,6,23,17,78.3,4.0,2.0,1,4.0,57.1,GK
110,Karl Darlow,60.0,25-26,34,wls WAL,Leeds United,eng Premier League,5,450,5.0,5,0,3,8,20,13,60.0,1.0,1.0,3,0.0,0.0,GK
111,Bart Verbruggen,60.0,25-26,22,nl NED,Brighton,eng Premier League,8,720,8.0,8,0,0,11,25,16,60.0,3.0,3.0,2,0.0,0.0,GK
112,Luiz Lúcio Reis Júnior,83.3,25-26,24,br BRA,Villarreal,es La Liga,6,540,6.0,6,0,3,4,18,13,83.3,4.0,1.0,1,3.0,50.0,GK
113,Giorgi Mamardashvili,60.0,25-26,24,ge GEO,Liverpool,eng Premier League,2,180,2.0,2,0,6,4,10,6,60.0,0.0,0.0,2,0.0,0.0,GK
114,Noah Atubolu,63.3,25-26,23,de GER,Freiburg,de Bundesliga,7,630,7.0,7,0,0,11,30,18,63.3,2.0,3.0,2,2.0,28.6,GK
115,Yvon Mvogo,52.9,25-26,31,ch SUI,Lorient,fr Ligue 1,5,450,5.0,5,0,0,11,17,7,52.9,1.0,2.0,2,0.0,0.0,GK
116,Finn Dahmen,63.9,25-26,27,de GER,Augsburg,de Bundesliga,7,630,7.0,7,0,0,14,36,21,63.9,2.0,1.0,4,0.0,0.0,GK
117,Pietro Terracciano,100.0,25-26,35,it ITA,Milan,it Serie A,2,125,1.4,1,1,5,0,4,4,100.0,1.0,0.0,0,2.0,200.0,GK
118,Dean Henderson,73.1,25-26,28,eng ENG,Crystal Palace,eng Premier League,8,720,8.0,8,0,0,8,26,18,73.1,3.0,4.0,1,3.0,37.5,GK
119,Jan Oblak,62.5,25-26,32,si SVN,Atlético Madrid,es La Liga,9,810,9.0,9,0,0,10,24,14,62.5,4.0,4.0,1,2.0,22.2,GK
120,Yehvann Diouf,73.8,25-26,25,sn SEN,Nice,fr Ligue 1,8,720,8.0,8,0,0,14,42,27,73.8,3.0,2.0,3,1.0,12.5,GK
121,Anthony Lopes,82.9,25-26,34,pt POR,Nantes,fr Ligue 1,8,720,8.0,8,0,0,9,41,32,82.9,1.0,3.0,4,2.0,25.0,GK
122,Adrian Šemper,68.8,25-26,27,hr CRO,Pisa,it Serie A,7,630,7.0,7,0,0,10,32,22,68.8,0.0,3.0,4,2.0,28.6,GK
123,Nikola Vasilj,66.7,25-26,29,ba BIH,St. Pauli,de Bundesliga,7,630,7.0,7,0,0,12,36,22,66.7,2.0,1.0,4,1.0,14.3,GK
124,Mory Diaw,60.6,25-26,32,sn SEN,Le Havre,fr Ligue 1,8,720,8.0,8,0,0,16,33,18,60.6,1.0,3.0,4,1.0,12.5,GK
125,Jonathan Fischer,64.6,25-26,23,dk DEN,Metz,fr Ligue 1,8,720,8.0,8,0,0,20,48,29,64.6,0.0,2.0,6,1.0,12.5,GK
126,Hervé Koffi,76.6,25-26,28,bf BFA,Angers,fr Ligue 1,8,720,8.0,8,0,0,12,47,34,76.6,1.0,3.0,4,1.0,12.5,GK
127,Augusto Batalla,77.8,25-26,29,ar ARG,Rayo Vallecano,es La Liga,9,810,9.0,9,0,0,10,36,26,77.8,3.0,2.0,4,2.0,22.2,GK
128,Mike Maignan,81.3,25-26,30,fr FRA,Milan,it Serie A,6,505,5.6,6,0,0,4,16,12,81.3,4.0,1.0,1,2.0,33.3,GK
129,Philipp Köhn,63.2,25-26,27,ch SUI,Monaco,fr Ligue 1,6,462,5.1,5,1,2,9,19,11,63.2,2.0,2.0,1,0.0,0.0,GK
