PlayerName,Position
Anthony Elanga                , Right Winger      
Daniel Elfadli                , Centre-Back       
Unai Elgezabal                , Centre-Back       
Mikael Ellertsson             , Central Midfield  
Harvey Elliott                , Attacking Midfield
Elif Elmas                    , Attacking Midfield
Aritz Elustondo               , Centre-Back       
Nico Elvedi                   , Centre-Back       
Breel Embolo                  , Centre-Forward    
Emanuel Emegha                , Centre-Forward    
Emersonn                      , Centre-Forward    
Julio Enciso                  , Attacking Midfield
Wataru Endo                   , Defensive Midfield
Yannik Engelhardt             , Defensive Midfield
Christian Eriksen             , Attacking Midfield
Aarón Escandell               , Goalkeeper        
Carlos Espí                   , Centre-Forward    
Alfonso Espino                , Left-Back         
Francesco Esposito            , Centre-Forward    
Sebastiano Esposito           , Second Striker    
Romain Esse                   , Right Winger      
Samuel Essende                , Centre-Forward    
Marco Esteban                 , Centre-Back       
Enzo Ebosse                   , Centre-Back       
Claudio Echeverri             , Attacking Midfield
Éderson                       , Goalkeeper        
Noah Edjouma                  , Right Winger      
Odsonne Édouard               , Centre-Forward    
Marcus Edwards                , Right Winger      
Nicolò Fagioli                , Central Midfield  
Omar Falah                    , Left-Back         
Wladimiro Falcone             , Goalkeeper        
Ansu Fati                     , Left Winger       
Abdoulaye Faye                , Centre-Back       
Jacopo Fazzini                , Central Midfield  
Aleix Febas                   , Central Midfield  
Mattia Felici                 , Left Winger       
Luiz Felipe                   , Centre-Back       
Robin Fellhauer               , Defensive Midfield
Kiko Femenía                  , Right-Back        
Evan Ferguson                 , Centre-Forward    
Lewis Ferguson                , Central Midfield  
Bruno Fernandes               , Attacking Midfield
Mateus Fernandes              , Central Midfield  
Enzo Fernández                , Central Midfield  
Ezequiél Fernández            , Defensive Midfield
Manu Fernández                , Centre-Back       
Pedro Fernandez               , Defender          
Pelayo Fernandez              , Centre-Back       
Maxime Estève                 , Centre-Back       
Nahuel Estévez                , Defensive Midfield
Pervis Estupiñán              , Left-Back         
Karl Etta Eyong               , Centre-Forward    
Malick Fofana                 , Left Winger       
Rayan Fofana                  , Centre-Forward    
Seko Fofana                   , Central Midfield  
Wesley Fofana                 , Centre-Back       
Youssouf Fofana               , Defensive Midfield
Jonas Föhrenbach              , Left-Back         
Michael Folorunsho            , Central Midfield  
Álex Forés                    , Centre-Forward    
Pablo Fornals                 , Central Midfield  
Héctor Fort                   ,                   
Niccolò Fortini               ,                   
Lyle Foster                   , Centre-Forward    
Dimitri Foulquier             , Right-Back        
Juan Foyth                    , Centre-Back       
Alejandro Francés             , Centre-Back       
Przemysław Frankowski         , Right-Back        
Davide Frattesi               , Central Midfield  
Oscar Fraulo                  , Central Midfield  
Morten Frendrup               , Central Midfield  
Martin Frese                  , Left-Back         
Remo Freuler                  , Central Midfield  
Marco Friedl                  , Centre-Back       
Marvin Friedrich              , Centre-Back       
Jeremie Frimpong              , Right-Back        
Jorge de Frutos               , Right Winger      
Chris Führich                 , Left Winger       
Joel Fujita                   , Central Midfield  
Niclas Füllkrug               , Centre-Forward    
Matteo Gabbia                 , Centre-Back       
Tiago Gabriel                 , Centre-Forward    
Facundo Garcés                , Centre-Back       
Aleix García                  , Central Midfield  
Álvaro García                 , Left Winger       
Eric García                   , Centre-Back       
Fran Garcia                   , Left-Back         
Gonzalo García                , Centre-Forward    
Joan García                   , Goalkeeper        
Pablo Garcia                  , Right Winger      
Rubén García                  , Right Winger      
Ulisses Garcia                , Left-Back         
Gianluca Gaetano              , Attacking Midfield
Roberto Gagliardini           , Central Midfield  
Cody Gakpo                    , Left Winger       
Javi Galán                    , Left-Back         
Iñigo Ruiz de Galarreta       , Central Midfield  
Conor Gallagher               , Central Midfield  
Antonino Gallo                , Left-Back         
Idrissa Gana Gueye            , Defensive Midfield
Ismaëlo Ganiou                , Centre-Back       
Ben Gannon-Doak               , Right Winger      
Víctor García                 , Right-Back        
Alejandro Garnacho            , Left Winger       
James Garner                  , Defensive Midfield
Federico Gatti                , Centre-Back       
Gavi                          , Central Midfield  
Jusuf Gazibegović             , Right-Back        
Paulo Gazzaniga               , Goalkeeper        
Jean-Philippe Gbamin          , Defensive Midfield
Yann Gboho                    , Left Winger       
David de Gea                  , Goalkeeper        
Lutsharel Geertruida          , Right-Back        
Tyrique George                , Left Winger       
Yannick Gerhardt              , Central Midfield  
Willem Geubbels               , Centre-Forward    
Ismaël Gharbi                 , Left Winger       
Mourad El Ghezouani           , Centre-Forward    
Rachid Ghezzal                , Right Winger      
Andrea Ghion                  , Defensive Midfield
Dimitris Giannoulis           , Left-Back         
Morgan Gibbs-White            , Attacking Midfield
Bryan Gil                     , Left Winger       
Mario Gila                    , Centre-Back       
Billy Gilmour                 , Defensive Midfield
Benedikt Gimber               , Centre-Back       
Santiago Giménez              , Centre-Forward    
Gvidas Gineitis               , Central Midfield  
Matthias Ginter               , Centre-Back       
Giovane                       , Centre-Forward    
Olivier Giroud                , Centre-Forward    
Jamie Gittens                 , Left Winger       
Robert Glatzel                , Centre-Forward    
Serge Gnabry                  , Left Winger       
Wilfried Gnonto               , Right Winger      
Giorgi Gocholeishvili         , Right-Back        
Rafael Gonçalves              , Centre-Back       
Nicolás González              , Left Winger       
Urko González                 , Defensive Midfield
Anthony Gordon                , Left Winger       
Leon Goretzka                 , Central Midfield  
Andoni Gorosabel              , Not Found         
Jon Gorrotxategi              , Defensive Midfield
Alimami Gory                  , Left Winger       
Robin Gosens                  , Left-Back         
Mikel Goti                    , Attacking Midfield
Angel Gomes                   , Attacking Midfield
João Gomes                    , Not Found         
Rodrigo Gomes                 , Left Midfield     
Toti Gomes                    , Centre-Back       
Diego Gómez                   , Central Midfield  
Joe Gomez                     , Centre-Back       
Moi Gómez                     , Left Winger       
Sergio Gómez                  , Left-Back         
Unai Gómez                    , Attacking Midfield
Valentín Gómez                , Centre-Back       
Mario Götze                   , Attacking Midfield
Amine Gouiri                  , Centre-Forward    
Tiago Gouveia                 , Right Winger      
Jeffrey Gouweleeuw            , Centre-Back       
Kamil Grabara                 , Goalkeeper        
Jonathan Gradit               , Centre-Back       
Alberto Grassi                , Defensive Midfield
Ryan Gravenberch              , Defensive Midfield
Archie Gray                   , Central Midfield  
Jack Grealish                 , Left Winger       
Mason Greenwood               , Right Winger      
Dominik Greif                 , Goalkeeper        
Antoine Griezmann             , Second Striker    
Vincenzo Grifo                , Left Winger       
Álex Grimaldo                 , Left-Back         
Pascal Groß                   , Central Midfield  
Brajan Gruda                  , Right Winger      
Ilia Gruev                    , Defensive Midfield
Marco Grüll                   , Left Winger       
Albert Grønbaek               , Attacking Midfield
Nemanja Gudelj                , Defensive Midfield
Gabriel Gudmundsson           , Left-Back         
Gonçalo Guedes                , Left Winger       
Marc Guéhi                    , Centre-Back       
Mattéo Guendouzi              , Central Midfield  
Javier Guerra                 , Central Midfield  
Raphaël Guerreiro             , Left-Back         
Daniel Guerrero               , Defensive Midfield
Ismaël Guerti                 , Attacking Midfield
Evann Guessand                , Centre-Forward    
Ander Guevara                 , Central Midfield  
Idrissa Guèye                 , Defensive Midfield
Pape Gueye                    , Defensive Midfield
Morgan Guilavogui             , Right Winger      
Luis Guilherme                , Right Winger      
